"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980-01","Manitoba","2016A000246","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212166","7.4","170.49","","","t","2"
"1980-01","Manitoba","2016A000246","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212167","7.5","133.74","","","t","2"
"1980-01","Manitoba","2016A000246","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212168","7.6","178.79","","","t","2"
"1980-01","Manitoba","2016A000246","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212169","7.7","142.90","","","t","2"
"1980-01","Saskatchewan","2016A000247","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212202","8.4","175.79","","","t","2"
"1980-01","Saskatchewan","2016A000247","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212203","8.5","137.05","","","t","2"
"1980-01","Saskatchewan","2016A000247","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212204","8.6","187.00","","","t","2"
"1980-01","Saskatchewan","2016A000247","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212205","8.7","146.25","","","t","2"
"1980-01","Alberta","2016A000248","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212238","9.4","175.51","","","t","2"
"1980-01","Alberta","2016A000248","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212239","9.5","137.42","","","t","2"
"1980-01","Alberta","2016A000248","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212240","9.6","184.81","","","t","2"
"1980-01","Alberta","2016A000248","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212241","9.7","146.61","","","t","2"
"1980-02","Manitoba","2016A000246","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212166","7.4","169.76","","","t","2"
"1980-02","Manitoba","2016A000246","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212167","7.5","133.02","","","t","2"
"1980-02","Manitoba","2016A000246","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212168","7.6","178.05","","","t","2"
"1980-02","Manitoba","2016A000246","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212169","7.7","142.36","","","t","2"
"1980-02","Saskatchewan","2016A000247","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212202","8.4","174.32","","","t","2"
"1980-02","Saskatchewan","2016A000247","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212203","8.5","135.58","","","t","2"
"1980-02","Saskatchewan","2016A000247","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212204","8.6","185.49","","","t","2"
"1980-02","Saskatchewan","2016A000247","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212205","8.7","144.76","","","t","2"
"1980-02","Alberta","2016A000248","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212238","9.4","174.78","","","t","2"
"1980-02","Alberta","2016A000248","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212239","9.5","136.68","","","t","2"
"1980-02","Alberta","2016A000248","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212240","9.6","184.13","","","t","2"
"1980-02","Alberta","2016A000248","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212241","9.7","145.92","","","t","2"
"1980-03","Manitoba","2016A000246","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212166","7.4","170.86","","","t","2"
"1980-03","Manitoba","2016A000246","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212167","7.5","134.11","","","t","2"
"1980-03","Manitoba","2016A000246","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212168","7.6","179.13","","","t","2"
"1980-03","Manitoba","2016A000246","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212169","7.7","143.29","","","t","2"
"1980-03","Saskatchewan","2016A000247","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212202","8.4","176.16","","","t","2"
"1980-03","Saskatchewan","2016A000247","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212203","8.5","137.42","","","t","2"
"1980-03","Saskatchewan","2016A000247","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212204","8.6","187.35","","","t","2"
"1980-03","Saskatchewan","2016A000247","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212205","8.7","146.60","","","t","2"
"1980-03","Alberta","2016A000248","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212238","9.4","169.27","","","t","2"
"1980-03","Alberta","2016A000248","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212239","9.5","131.17","","","t","2"
"1980-03","Alberta","2016A000248","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212240","9.6","178.59","","","t","2"
"1980-03","Alberta","2016A000248","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212241","9.7","140.34","","","t","2"
"1980-04","Manitoba","2016A000246","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212166","7.4","174.54","","","t","2"
"1980-04","Manitoba","2016A000246","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212167","7.5","137.79","","","t","2"
"1980-04","Manitoba","2016A000246","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212168","7.6","182.85","","","t","2"
"1980-04","Manitoba","2016A000246","Canadian Wheat Board, durum excluding payments","Dollars per metric tonne","117","units","0","v31212169","7.7","146.99","","","t","2"
"1980-04","Saskatchewan","2016A000247","Canadian Wheat Board, wheat including payments","Dollars per metric tonne","117","units","0","v31212202","8.4","178.00","","","t","2"
"1980-04","Saskatchewan","2016A000247","Canadian Wheat Board, wheat excluding payments","Dollars per metric tonne","117","units","0","v31212203","8.5","139.26","","","t","2"
"1980-04","Saskatchewan","2016A000247","Canadian Wheat Board, durum including payments","Dollars per metric tonne","117","units","0","v31212204","8.6","189.20","","","t","2"
