month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2019-01,farm,beef,Steers for slaughter [111111113],138.23,Dollars per hundredweight,3.05,Dollars per kg
2019-01,farm,beef,Heifers for slaughter [111111114],135.02,Dollars per hundredweight,2.98,Dollars per kg
2019-01,farm,pork,Hogs [111121],76.63,Dollars per hundredweight,1.69,Dollars per kg
2019-01,farm,chicken,Chickens for meat [11113131],2.03,Dollars per kilogram,2.03,Dollars per kilogram
2019-01,farm,milk,Unprocessed milk from bovine [11612111],734.27,Dollars per kilolitre,0.73,Dollars per litre
2019-01,farm,egg,Eggs in shell [116111],1.55,Dollars per dozen,1.55,Dollars per dozen
2019-01,retail,beef,"Beef stewing cuts, per kilogram",13.79,Dollars,13.79,Dollars
2019-01,retail,beef,"Beef striploin cuts, per kilogram",18.72,Dollars,18.72,Dollars
2019-01,retail,beef,"Beef top sirloin cuts, per kilogram",15.5,Dollars,15.5,Dollars
2019-01,retail,beef,"Beef rib cuts, per kilogram",19.69,Dollars,19.69,Dollars
2019-01,retail,beef,"Ground beef, per kilogram",8.57,Dollars,8.57,Dollars
2019-01,retail,pork,"Pork loin cuts, per kilogram",7.8,Dollars,7.8,Dollars
2019-01,retail,pork,"Pork rib cuts, per kilogram",6.3,Dollars,6.3,Dollars
2019-01,retail,pork,"Pork shoulder cuts, per kilogram",3.88,Dollars,3.88,Dollars
2019-01,retail,chicken,"Whole chicken, per kilogram",5.96,Dollars,5.96,Dollars
2019-01,retail,chicken,"Chicken breasts, per kilogram",11.0,Dollars,11.0,Dollars
2019-01,retail,chicken,"Chicken thigh, per kilogram",8.48,Dollars,8.48,Dollars
2019-01,retail,chicken,"Chicken drumsticks, per kilogram",5.84,Dollars,5.84,Dollars
2019-01,retail,pork,"Bacon, 500 grams",6.25,Dollars,12.5,Dollars per kg
2019-01,retail,milk,"Milk, 1 litre",2.99,Dollars,2.99,Dollars per litre
2019-01,retail,milk,"Milk, 2 litres",4.64,Dollars,2.32,Dollars per litre
2019-01,retail,milk,"Milk, 4 litres",4.87,Dollars,1.22,Dollars per litre
2019-01,retail,egg,"Eggs, 1 dozen",3.16,Dollars,3.16,Dollars
2019-02,farm,beef,Steers for slaughter [111111113],142.87,Dollars per hundredweight,3.15,Dollars per kg
2019-02,farm,beef,Heifers for slaughter [111111114],123.12,Dollars per hundredweight,2.71,Dollars per kg
2019-02,farm,pork,Hogs [111121],74.31,Dollars per hundredweight,1.64,Dollars per kg
2019-02,farm,chicken,Chickens for meat [11113131],2.03,Dollars per kilogram,2.03,Dollars per kilogram
2019-02,farm,milk,Unprocessed milk from bovine [11612111],723.92,Dollars per kilolitre,0.72,Dollars per litre
2019-02,farm,egg,Eggs in shell [116111],1.55,Dollars per dozen,1.55,Dollars per dozen
2019-02,retail,beef,"Beef stewing cuts, per kilogram",13.32,Dollars,13.32,Dollars
2019-02,retail,beef,"Beef striploin cuts, per kilogram",18.8,Dollars,18.8,Dollars
2019-02,retail,beef,"Beef top sirloin cuts, per kilogram",13.44,Dollars,13.44,Dollars
2019-02,retail,beef,"Beef rib cuts, per kilogram",23.44,Dollars,23.44,Dollars
2019-02,retail,beef,"Ground beef, per kilogram",9.09,Dollars,9.09,Dollars
2019-02,retail,pork,"Pork loin cuts, per kilogram",8.36,Dollars,8.36,Dollars
2019-02,retail,pork,"Pork rib cuts, per kilogram",7.7,Dollars,7.7,Dollars
2019-02,retail,pork,"Pork shoulder cuts, per kilogram",3.83,Dollars,3.83,Dollars
2019-02,retail,chicken,"Whole chicken, per kilogram",5.16,Dollars,5.16,Dollars
2019-02,retail,chicken,"Chicken breasts, per kilogram",10.2,Dollars,10.2,Dollars
2019-02,retail,chicken,"Chicken thigh, per kilogram",10.27,Dollars,10.27,Dollars
2019-02,retail,chicken,"Chicken drumsticks, per kilogram",7.09,Dollars,7.09,Dollars
